t_s,fused_yaw_deg,ahrs_yaw_deg,raw_vyaw_deg_s,ahrs_vyaw_deg_s,mag_x,mag_y,mag_z,mag_magnitude,x_m,y_m,is_checkpoint,checkpoint_idx,gt_x,gt_y,gt_error_m
0.000,0.0367,92.6582,-0.0314,-0.0455,0.000035,0.000002,-0.000018,0.000039,0.0000,0.0000,0,,,,
0.002,0.0382,92.6582,-0.0498,0.0909,0.000035,0.000002,-0.000018,0.000039,0.0000,0.0000,0,,,,
0.004,0.0383,92.6582,0.0514,0.2128,0.000035,0.000002,-0.000018,0.000039,0.0000,0.0000,0,,,,
0.026,0.0368,92.6580,-0.0106,-0.0218,0.000035,0.000002,-0.000018,0.000039,0.0000,0.0000,0,,,,
0.050,0.0336,92.6580,-0.0782,-0.1779,0.000035,0.000002,-0.000018,0.000039,0.0000,0.0000,0,,,,
0.074,0.0344,92.6580,0.0110,-0.1490,0.000035,0.000002,-0.000018,0.000039,0.0000,0.0000,0,,,,
0.099,0.0354,92.6580,0.0582,0.1104,0.000035,0.000002,-0.000018,0.000039,0.0000,0.0000,0,,,,
0.124,0.0359,92.6580,0.0993,0.1062,0.000035,0.000002,-0.000018,0.000039,0.0000,0.0000,0,,,,
0.149,0.0366,92.6580,0.0281,-0.0078,0.000035,0.000002,-0.000018,0.000039,0.0000,0.0000,0,,,,
0.174,0.0370,92.6580,0.0602,0.0082,0.000035,0.000002,-0.000018,0.000039,0.0000,0.0000,0,,,,
0.199,0.0359,92.6580,0.0355,0.0053,0.000035,0.000002,-0.000018,0.000039,0.0000,0.0000,0,,,,
0.224,0.0350,92.6580,0.0066,0.0000,0.000035,0.000002,-0.000018,0.000039,0.0000,0.0000,0,,,,
0.249,0.0350,92.6580,0.0390,0.1448,0.000035,0.000002,-0.000018,0.000039,0.0004,0.0000,0,,,,
0.274,0.0348,92.6573,-0.0624,0.1160,0.000035,0.000002,-0.000018,0.000039,0.0004,0.0000,0,,,,
0.298,0.0354,92.6573,0.0094,-0.1192,0.000035,0.000002,-0.000018,0.000039,0.0008,0.0000,0,,,,
0.323,0.0329,92.6573,-0.2790,-0.3082,0.000035,0.000002,-0.000018,0.000039,0.0009,0.0000,0,,,,
0.349,0.0285,92.6573,-0.2567,-0.2856,0.000035,0.000002,-0.000018,0.000039,0.0014,0.0000,0,,,,
0.373,0.0308,92.6573,-0.0734,-0.0904,0.000035,0.000002,-0.000018,0.000039,0.0016,0.0000,0,,,,
0.399,0.0324,92.6573,0.1378,0.1465,0.000035,0.000002,-0.000018,0.000039,0.0020,0.0000,0,,,,
0.424,0.0369,92.6573,0.4217,0.5517,0.000035,0.000002,-0.000018,0.000039,0.0022,0.0000,0,,,,
0.449,0.0419,92.6573,0.4086,0.2850,0.000035,0.000002,-0.000018,0.000039,0.0027,0.0000,0,,,,
0.473,0.0401,92.6573,-0.0798,-0.1272,0.000035,0.000002,-0.000018,0.000039,0.0029,0.0000,0,,,,
0.499,0.0336,92.6573,-0.3658,-0.3324,0.000035,0.000002,-0.000018,0.000039,0.0032,0.0000,0,,,,
0.523,0.0301,92.6585,-0.4422,-0.5773,0.000035,0.000001,-0.000018,0.000039,0.0035,0.0000,0,,,,
0.549,0.0218,92.6491,-0.6945,-0.4676,0.000035,0.000002,-0.000018,0.000039,0.0039,0.0000,0,,,,
0.573,0.0138,92.6374,-0.4185,-0.5156,0.000035,0.000002,-0.000018,0.000039,0.0041,0.0000,0,,,,
0.598,0.0060,92.6299,-0.1811,-0.1582,0.000035,0.000002,-0.000018,0.000039,0.0045,0.0000,0,,,,
0.624,0.0079,92.6311,0.0764,0.3509,0.000035,0.000002,-0.000018,0.000039,0.0047,0.0000,0,,,,
0.649,0.0155,92.6366,0.3374,0.3838,0.000035,0.000001,-0.000018,0.000039,0.0051,0.0000,0,,,,
0.674,0.0200,92.6422,0.1330,0.1876,0.000035,0.000001,-0.000018,0.000039,0.0054,0.0000,0,,,,
0.698,0.0230,92.6447,0.1141,0.0300,0.000035,0.000001,-0.000018,0.000039,0.0059,0.0000,0,,,,
0.724,0.0230,92.6441,-0.0902,-0.0105,0.000035,0.000001,-0.000018,0.000039,0.0061,0.0000,0,,,,
0.749,0.0192,92.6419,-0.0763,-0.2121,0.000035,0.000001,-0.000018,0.000039,0.0066,0.0000,0,,,,
0.774,0.0186,92.6415,0.0830,0.0813,0.000035,0.000001,-0.000018,0.000039,0.0070,0.0000,0,,,,
0.799,0.0201,92.6427,0.1627,0.0336,0.000035,0.000001,-0.000018,0.000039,0.0075,0.0000,0,,,,
0.824,0.0238,92.6466,-0.0094,-0.1774,0.000035,0.000001,-0.000018,0.000039,0.0079,0.0000,0,,,,
0.849,0.0284,92.6516,0.1881,0.5071,0.000035,0.000001,-0.000018,0.000039,0.0086,0.0000,0,,,,
0.873,0.0428,92.6676,0.9949,1.0676,0.000035,0.000001,-0.000018,0.000039,0.0089,0.0000,0,,,,
0.899,0.0727,92.6944,0.8819,0.9058,0.000035,0.000001,-0.000018,0.000039,0.0094,0.0000,0,,,,
0.924,0.0875,92.7074,0.5590,0.4257,0.000035,0.000001,-0.000018,0.000039,0.0098,0.0000,0,,,,
0.948,0.0888,92.7104,-0.4098,-0.5930,0.000035,0.000001,-0.000018,0.000039,0.0102,0.0000,0,,,,
0.974,0.0628,92.6835,-0.9156,-0.9522,0.000035,0.000001,-0.000018,0.000039,0.0107,0.0000,0,,,,
0.999,0.0473,92.6701,-0.2041,0.3374,0.000035,0.000001,-0.000018,0.000039,0.0113,0.0000,0,,,,
1.023,0.0633,92.6893,1.3279,1.2445,0.000035,0.000001,-0.000018,0.000039,0.0117,0.0000,0,,,,
1.049,0.1066,92.7290,1.3924,1.2683,0.000035,0.000001,-0.000018,0.000039,0.0121,0.0000,0,,,,
1.075,0.1293,92.7477,0.2733,0.1416,0.000035,0.000001,-0.000018,0.000039,0.0125,0.0000,0,,,,
1.099,0.1146,92.7236,-1.7995,-1.8596,0.000035,0.000001,-0.000018,0.000039,0.0133,0.0000,0,,,,
1.123,0.0627,92.6821,-2.0493,-2.0810,0.000035,0.000001,-0.000018,0.000039,0.0138,0.0000,0,,,,
1.149,0.0016,92.6258,-1.7932,-1.7439,0.000035,0.000001,-0.000018,0.000039,0.0149,0.0000,0,,,,
1.174,-0.0203,92.6054,-0.6511,-0.7426,0.000035,0.000001,-0.000018,0.000039,0.0154,0.0000,0,,,,
1.199,-0.0269,92.5991,0.0555,0.5788,0.000035,0.000001,-0.000018,0.000039,0.0166,0.0000,0,,,,
1.223,-0.0083,92.6165,1.1583,1.1693,0.000035,0.000001,-0.000018,0.000039,0.0172,0.0000,0,,,,
1.249,0.0207,92.6479,0.4931,0.3473,0.000034,0.000001,-0.000018,0.000039,0.0187,0.0000,0,,,,
1.274,0.0303,92.6548,-0.1735,-0.2560,0.000035,0.000001,-0.000018,0.000039,0.0196,0.0000,0,,,,
1.299,0.0185,92.6421,-0.4541,-0.3537,0.000035,0.000001,-0.000018,0.000039,0.0217,0.0000,0,,,,
1.323,0.0136,92.6358,-0.0206,-0.0902,0.000035,0.000001,-0.000018,0.000039,0.0225,0.0000,0,,,,
1.350,0.0104,92.6311,-0.1779,-0.0579,0.000035,0.000001,-0.000018,0.000039,0.0251,0.0000,0,,,,
1.374,0.0115,92.6337,-0.4126,-0.3741,0.000035,0.000001,-0.000017,0.000039,0.0261,0.0000,0,,,,
1.399,-0.0129,92.6133,-1.0589,-1.1538,0.000035,0.000001,-0.000017,0.000039,0.0294,0.0000,0,,,,
1.424,-0.0549,92.5636,-2.3557,-2.3304,0.000035,0.000001,-0.000017,0.000039,0.0311,0.0000,0,,,,
1.448,-0.1276,92.4952,-2.2418,-1.9721,0.000034,0.000001,-0.000017,0.000039,0.0358,0.0000,0,,,,
1.474,-0.1590,92.4668,-1.4174,-0.7040,0.000034,0.000001,-0.000017,0.000038,0.0376,0.0000,0,,,,
1.499,-0.1721,92.4524,-0.3298,-0.2022,0.000034,0.000001,-0.000017,0.000038,0.0431,-0.0000,0,,,,
1.524,-0.1743,92.4536,-0.0639,0.0357,0.000034,0.000001,-0.000017,0.000038,0.0453,-0.0000,0,,,,
1.549,-0.1745,92.4478,-0.2769,-0.4301,0.000034,0.000001,-0.000017,0.000038,0.0512,-0.0000,0,,,,
1.574,-0.1817,92.4415,-0.2872,-0.2338,0.000034,0.000001,-0.000017,0.000038,0.0546,-0.0000,0,,,,
1.598,-0.1937,92.4281,-0.5128,-0.3822,0.000034,0.000000,-0.000017,0.000038,0.0619,-0.0001,0,,,,
1.625,-0.2028,92.4163,-0.5919,-0.7272,0.000033,0.000000,-0.000017,0.000037,0.0651,-0.0001,0,,,,
1.649,-0.2270,92.3931,-0.8173,-1.4432,0.000033,-0.000000,-0.000017,0.000037,0.0724,-0.0001,0,,,,
1.674,-0.2640,92.3572,-1.9602,-2.1001,0.000033,-0.000000,-0.000017,0.000037,0.0761,-0.0001,0,,,,
1.698,-0.3147,92.3177,-1.9762,-1.8664,0.000032,-0.000000,-0.000017,0.000036,0.0820,-0.0001,0,,,,
1.724,-0.3417,92.2650,-1.6280,-1.7378,0.000032,-0.000000,-0.000016,0.000036,0.0850,-0.0001,0,,,,
1.749,-0.4146,92.2065,-2.1163,-2.1899,0.000032,-0.000000,-0.000016,0.000036,0.0934,-0.0002,0,,,,
1.774,-0.4422,92.1914,-1.4750,-1.5402,0.000032,-0.000001,-0.000016,0.000036,0.0975,-0.0002,0,,,,
1.799,-0.4741,92.1529,-1.1944,-0.9951,0.000032,-0.000001,-0.000016,0.000036,0.1030,-0.0003,0,,,,
1.826,-0.4918,92.1239,-0.8397,-0.8609,0.000031,-0.000001,-0.000016,0.000035,0.1071,-0.0003,0,,,,
1.849,-0.5124,92.1159,-0.8601,-0.8906,0.000031,-0.000001,-0.000016,0.000035,0.1107,-0.0003,0,,,,
