x_m,y_m,yaw_rad
-0.0260,0.0240,1.3090
0.0139,0.1625,1.2217
0.0542,0.3008,1.2217
0.0945,0.4392,1.2217
0.1348,0.5776,1.2217
0.1750,0.7159,1.2217
0.2153,0.8543,1.2217
0.2556,0.9927,1.2217
0.2959,1.1310,1.2217
0.3385,1.2687,1.2217
0.3930,1.4020,1.0472
0.3930,1.4020,1.1345
0.4643,1.5366,0.9599
0.5489,1.6632,0.8727
0.6411,1.7845,0.8727
0.7333,1.9058,0.8727
0.8256,2.0270,0.8727
0.9179,2.1483,0.8727
1.0102,2.2695,0.8727
1.1024,2.3908,0.8727
1.1947,2.5120,0.8727
1.2870,2.6332,0.8727
1.3799,2.7540,0.8727
1.4820,2.8670,0.7854
1.5875,2.9699,0.6981
1.6955,3.0700,0.6981
1.8059,3.1675,0.6981
1.9188,3.2622,0.6109
2.0340,3.3540,0.6109
2.1514,3.4429,0.6109
2.2710,3.5289,0.5236
2.3928,3.6119,0.5236
2.5165,3.6917,0.5236
2.6423,3.7685,0.5236
2.7697,3.8425,0.4363
2.8973,3.9160,0.4363
3.0250,3.9895,0.4363
3.1527,4.0630,0.4363
3.2803,4.1365,0.4363
3.4080,4.2100,0.5236
3.5406,4.2780,0.3491
3.6793,4.3325,0.2618
3.8226,4.3732,0.1745
3.9673,4.4092,0.1745
4.1119,4.4452,0.1745
4.2566,4.4812,0.1745
4.4012,4.5172,0.1745
4.5459,4.5532,0.1745
4.6905,4.5892,0.1745
4.8351,4.6254,0.2618
4.9768,4.6715,0.3491
5.1133,4.7313,0.4363
5.2431,4.8044,0.5236
5.3651,4.8900,0.6109
5.4779,4.9873,0.6981
5.5806,5.0953,0.7854
5.6720,5.2130,0.9599
5.8027,5.4394,1.1345
5.8922,5.6851,1.3090
5.9376,5.9426,1.4835
5.9376,6.2041,1.6581
5.9148,6.4646,1.6581
5.8920,6.7250,1.6581
5.8692,6.9855,1.6581
5.8464,7.2460,1.6581
5.8236,7.5065,1.6581
5.8008,7.7669,1.6581
5.7780,8.0274,1.6581
5.7553,8.2879,1.6581
5.7325,8.5483,1.6581
5.7097,8.8088,1.6581
5.6869,9.0693,1.6581
5.6869,9.3308,1.4835
5.7097,9.5912,1.4835
5.7325,9.8517,1.4835
5.7553,10.1122,1.4835
5.7780,10.3726,1.4835
5.8008,10.6331,1.4835
5.8236,10.8936,1.4835
5.8464,11.1541,1.4835
5.8692,11.4145,1.4835
5.8692,11.6760,1.6581
5.8238,11.9335,1.8326
5.7344,12.1792,2.0071
5.6036,12.4056,2.1817
5.4537,12.6198,2.1817
5.3037,12.8340,2.1817
5.1356,13.0343,2.3562
4.9507,13.2192,2.3562
4.7659,13.4041,2.3562
4.5810,13.5889,2.3562
4.3961,13.7738,2.3562
4.2112,13.9587,2.3562
4.0109,14.1268,2.5307
3.7845,14.2575,2.7053
3.5388,14.3469,2.8798
3.2813,14.3923,3.0543
3.0198,14.3923,3.2289
2.7593,14.3696,3.2289
2.5018,14.3242,3.4034
2.2561,14.2347,3.5779
2.0297,14.1040,3.7525
1.8155,13.9540,3.7525
1.6152,13.7860,3.9270
1.4472,13.5857,4.1015
1.3164,13.3592,4.2761
1.2270,13.1135,4.4506
1.1593,12.8610,4.4506
1.0916,12.6084,4.4506
1.0240,12.3558,4.4506
0.9563,12.1033,4.4506
0.8886,11.8507,4.4506
0.8210,11.5982,4.4506
0.7315,11.3525,4.2761
0.6008,11.1260,4.1015
0.4327,10.9257,3.9270
0.2478,10.7409,3.9270
0.0630,10.5560,3.9270
-0.1219,10.3711,3.9270
-0.3068,10.1862,3.9270
-0.4917,10.0013,3.9270
-0.6766,9.8164,3.9270
-0.8446,9.6161,4.1015
-0.9754,9.3897,4.2761
-1.0859,9.1527,4.2761
-1.1753,8.9070,4.4506
-1.2207,8.6495,4.6251
-1.2207,8.3881,4.7997
-1.1979,8.1276,4.7997
-1.1751,7.8671,4.7997
-1.1523,7.6067,4.7997
-1.1296,7.3462,4.7997
-1.1068,7.0857,4.7997
-1.0614,6.8282,4.9742
-0.9937,6.5757,4.9742
-0.9260,6.3231,4.9742
-0.8366,6.0774,5.1487
-0.7059,5.8510,5.3233
-0.5378,5.6507,5.4978
-0.3529,5.4658,5.4978
-0.1680,5.2809,5.4978
0.0169,5.0960,5.4978
0.2172,4.9279,5.6723
0.4436,4.7972,5.8469
0.6806,4.6867,5.8469
0.9175,4.5762,5.8469
1.1545,4.4657,5.8469
1.3915,4.3552,5.8469
1.6285,4.2447,5.8469
1.8654,4.1342,5.8469
2.1111,4.0448,6.0214
