name,x_m,y_m
"(-0.0,0.0)",-0.0260,0.0240
"(0.4,1.4)",0.3930,1.4020
"(1.5,2.9)",1.4820,2.8670
"(3.4,4.2)",3.4080,4.2100
"(5.7,5.2)",5.6720,5.2130
"(5.7,6.1)",5.7460,6.1270
"(5.9,7.6)",5.9290,7.5530
"(6.3,11.1)",6.2570,11.0660
"(5.9,12.0)",5.9070,12.0480
"(5.2,13.1)",5.2080,13.1060
"(4.0,13.9)",4.0480,13.9280
"(2.8,14.6)",2.7660,14.5570
"(1.6,14.3)",1.6240,14.2760
"(0.8,13.4)",0.8490,13.4280
"(1.0,12.3)",0.9660,12.2790
"(1.0,11.0)",1.0400,10.9690
"(0.3,10.3)",0.2730,10.3340
"(-0.9,9.9)",-0.8890,9.8770
"(-1.7,9.3)",-1.6660,9.3280
"(-2.0,8.5)",-1.9720,8.4690
"(-2.3,6.7)",-2.2560,6.7090
"(-2.0,5.3)",-2.0420,5.2920
"(-0.7,4.2)",-0.7290,4.2110
"(0.3,3.3)",0.3500,3.3400
"(1.0,2.5)",0.9730,2.5010
"(0.8,1.2)",0.8360,1.2210
"(-0.0,-0.0)",-0.0420,-0.0150
