x_m,y_m,yaw_rad
0.0000,0.0000,0.2618
0.2575,0.0454,0.0873
0.5190,0.0454,-0.0873
0.7765,0.0000,-0.2618
1.0222,-0.0894,-0.4363
1.2486,-0.2202,-0.6109
1.4628,-0.3701,-0.6109
1.6770,-0.5201,-0.6109
1.9034,-0.6508,-0.4363
2.1491,-0.7403,-0.2618
2.4066,-0.7857,-0.0873
2.6681,-0.7857,0.0873
2.9255,-0.7403,0.2618
3.1781,-0.6726,0.2618
3.4238,-0.5832,0.4363
3.6608,-0.4727,0.4363
3.8977,-0.3622,0.4363
4.1242,-0.2314,0.6109
4.3245,-0.0634,0.7854
4.4925,0.1369,0.9599
4.6233,0.3634,1.1345
4.7338,0.6003,1.1345
4.8443,0.8373,1.1345
4.9750,1.0638,0.9599
5.1250,1.2779,0.9599
5.2750,1.4921,0.9599
5.3540,1.6124,0.9599
5.4322,1.7332,0.9599
5.5129,1.8523,0.8727
5.6040,1.9636,0.7854
5.7053,2.0657,0.6981
5.8160,2.1576,0.6109
5.9350,2.2385,0.5236
6.0612,2.3076,0.4363
6.1934,2.3643,0.3491
6.3304,2.4080,0.1745
6.4710,2.4385,0.0873
6.6138,2.4553,0.0000
6.7577,2.4584,-0.0873
6.9011,2.4477,-0.1745
7.0429,2.4233,-0.2618
7.1817,2.3854,-0.3491
7.3162,2.3344,-0.4363
7.4452,2.2708,-0.5236
7.5675,2.1951,-0.6109
7.6820,2.1080,-0.6981
7.8962,1.9580,-0.5236
8.1226,1.8273,-0.5236
8.3491,1.6966,-0.5236
8.5860,1.5861,-0.3491
8.8386,1.5184,-0.1745
9.0991,1.4956,0.0000
9.3595,1.5184,0.1745
9.6121,1.5861,0.3491
9.8491,1.6966,0.5236
10.0632,1.8465,0.6981
10.2635,2.0146,0.6981
10.4638,2.1827,0.6981
10.6487,2.3676,0.8727
10.7987,2.5817,1.0472
10.9092,2.8187,1.2217
10.9769,3.0713,1.3963
10.9996,3.3317,1.5708
10.9769,3.5922,1.7453
10.9315,3.8497,1.7453
10.8861,4.1072,1.7453
10.8406,4.3647,1.7453
10.7730,4.6172,1.9199
10.6625,4.8542,2.0944
10.5125,5.0684,2.2689
10.3276,5.2533,2.4435
10.1134,5.4033,2.6180
9.8765,5.5138,2.7925
9.6239,5.5814,2.9671
9.3634,5.6042,3.1416
9.1030,5.5814,3.3161
8.8504,5.5138,3.4907
8.6047,5.4243,3.4907
8.3590,5.3349,3.4907
8.1133,5.2455,3.4907
7.8676,5.1560,3.4907
7.6219,5.0666,3.4907
7.3762,4.9772,3.4907
7.1392,4.8667,3.6652
6.9251,4.7167,3.8397
6.7402,4.5318,4.0143
6.5902,4.3177,4.1888
6.4797,4.0807,4.3633
6.3903,3.8350,4.3633
6.3009,3.5893,4.3633
6.2114,3.3436,4.3633
6.1220,3.0979,4.3633
6.0326,2.8522,4.3633
5.9431,2.6065,4.3633
5.8537,2.3608,4.3633
5.7643,2.1151,4.3633
5.6749,1.8694,4.3633
5.5854,1.6237,4.3633
5.4960,1.3780,4.3633
5.4066,1.1323,4.3633
5.3172,0.8866,4.3633
5.2277,0.6409,4.3633
5.1383,0.3952,4.3633
5.0489,0.1495,4.3633
4.9594,-0.0962,4.3633
4.8489,-0.3332,4.1888
4.7182,-0.5596,4.1888
4.5875,-0.7860,4.1888
4.4567,-1.0125,4.1888
4.3260,-1.2389,4.1888
4.2155,-1.4759,4.3633
4.1478,-1.7284,4.5379
4.1250,-1.9889,-1.5708
4.1478,-2.2494,-1.3963
4.1932,-2.5069,-1.3963
4.2386,-2.7644,-1.3963
4.2840,-3.0219,-1.3963
4.3517,-3.2744,-1.2217
4.4411,-3.5201,-1.2217
4.5306,-3.7658,-1.2217
4.6411,-4.0028,-1.0472
4.7718,-4.2292,-1.0472
4.8391,-4.3596,-1.2217
4.8943,-4.4956,-1.2217
4.9465,-4.6329,-1.2217
4.9986,-4.7701,-1.2217
5.0507,-4.9073,-1.2217
5.1051,-5.0437,-1.2217
5.1712,-5.1747,-1.1345
5.2493,-5.2989,-1.0472
5.3388,-5.4152,-0.8727
5.4390,-5.5225,-0.7854
5.5488,-5.6198,-0.6981
5.6673,-5.7064,-0.6109
5.7935,-5.7813,-0.5236
5.9262,-5.8439,-0.4363
6.0642,-5.8938,-0.3491
6.2064,-5.9303,-0.2618
6.3513,-5.9532,-0.1745
6.4978,-5.9624,-0.0873
6.6444,-5.9576,0.0000
6.7900,-5.9390,0.1745
7.0505,-5.9162,0.0000
7.3119,-5.9162,0.0000
7.5734,-5.9162,0.0000
7.8349,-5.9162,0.0000
8.0963,-5.9162,0.0000
8.3578,-5.9162,0.0000
8.6193,-5.9162,0.0000
8.8807,-5.9162,0.0000
9.1422,-5.9162,0.0000
9.4037,-5.9162,0.0000
9.6651,-5.9162,0.0000
9.9266,-5.9162,0.0000
10.1881,-5.9162,0.0000
10.4495,-5.9162,0.0000
10.7110,-5.9162,0.0000
10.9715,-5.8934,0.1745
11.1113,-5.8667,0.1745
11.2503,-5.8359,0.1745
11.3883,-5.8010,0.1745
11.5252,-5.7622,0.2618
11.6610,-5.7194,0.2618
11.7955,-5.6727,0.2618
11.9285,-5.6221,0.3491
12.0601,-5.5677,0.3491
12.1909,-5.5116,0.3491
12.3218,-5.4556,0.3491
12.4526,-5.3995,0.3491
12.5835,-5.3434,0.3491
12.7133,-5.2852,0.4363
12.8414,-5.2231,0.4363
12.9677,-5.1574,0.4363
13.0920,-5.0880,0.5236
13.3062,-4.9380,0.6981
13.5065,-4.7700,0.6981
13.7068,-4.6019,0.6981
13.9071,-4.4338,0.6981
14.1074,-4.2658,0.6981
14.3215,-4.1158,0.5236
14.5585,-4.0053,0.3491
14.8111,-3.9376,0.1745
15.0715,-3.9148,0.0000
15.3330,-3.9148,0.0000
15.5945,-3.9148,0.0000
15.8559,-3.9148,0.0000
16.1174,-3.9148,0.0000
16.3789,-3.9148,0.0000
16.6403,-3.9148,0.0000
16.9018,-3.9148,0.0000
17.1633,-3.9148,0.0000
17.4247,-3.9148,0.0000
17.6862,-3.9148,0.0000
17.9477,-3.9148,0.0000
18.2092,-3.9148,0.0000
18.4706,-3.9148,0.0000
18.7311,-3.8920,0.1745
18.9837,-3.8244,0.3491
19.2206,-3.7139,0.5236
19.4348,-3.5639,0.6981
19.6197,-3.3790,0.8727
19.7697,-3.1648,1.0472
19.9004,-2.9384,1.0472
20.0311,-2.7119,1.0472
20.1619,-2.4855,1.0472
20.2724,-2.2485,1.2217
20.3400,-1.9960,1.3963
20.3628,-1.7355,1.5708
20.3400,-1.4750,1.7453
20.2946,-1.2175,1.7453
20.2492,-0.9600,1.7453
20.2038,-0.7026,1.7453
20.1810,-0.4421,1.5708
20.1743,-0.2996,1.6581
20.1540,-0.1585,1.7453
20.1204,-0.0199,1.8326
20.0738,0.1148,1.9199
20.0146,0.2446,2.0071
19.9434,0.3681,2.0944
19.8608,0.4843,2.1817
19.7675,0.5922,2.2689
19.6647,0.6910,2.3562
19.5595,0.7874,2.3562
19.4543,0.8837,2.3562
19.3491,0.9801,2.3562
19.2440,1.0764,2.3562
19.1388,1.1728,2.3562
19.0336,1.2691,2.3562
