x_m,y_m,yaw_rad
-0.0000,0.0000,1.8326
-0.0454,0.2575,1.6581
-0.0454,0.5190,1.4835
-0.0000,0.7765,1.3090
0.0894,1.0222,1.1345
0.2202,1.2486,0.9599
0.3701,1.4628,0.9599
0.5201,1.6770,0.9599
0.6508,1.9034,1.1345
0.7403,2.1491,1.3090
0.7857,2.4066,1.4835
0.7857,2.6681,1.6581
0.7403,2.9255,1.8326
0.6726,3.1781,1.8326
0.5832,3.4238,2.0071
0.4727,3.6608,2.0071
0.3622,3.8977,2.0071
0.2314,4.1242,2.1817
0.0634,4.3245,2.3562
-0.1369,4.4925,2.5307
-0.3634,4.6233,2.7053
-0.6003,4.7338,2.7053
-0.8373,4.8443,2.7053
-1.0638,4.9750,2.5307
-1.2779,5.1250,2.5307
-1.4921,5.2750,2.5307
-1.6124,5.3540,2.5307
-1.7332,5.4322,2.5307
-1.8523,5.5129,2.4435
-1.9636,5.6040,2.3562
-2.0657,5.7053,2.2689
-2.1576,5.8160,2.1817
-2.2385,5.9350,2.0944
-2.3076,6.0612,2.0071
-2.3643,6.1934,1.9199
-2.4080,6.3304,1.7453
-2.4385,6.4710,1.6581
-2.4553,6.6138,1.5708
-2.4584,6.7577,1.4835
-2.4477,6.9011,1.3963
-2.4233,7.0429,1.3090
-2.3854,7.1817,1.2217
-2.3344,7.3162,1.1345
-2.2708,7.4452,1.0472
-2.1951,7.5675,0.9599
-2.1080,7.6820,0.8727
-1.9580,7.8962,1.0472
-1.8273,8.1226,1.0472
-1.6966,8.3491,1.0472
-1.5861,8.5860,1.2217
-1.5184,8.8386,1.3963
-1.4956,9.0991,1.5708
-1.5184,9.3595,1.7453
-1.5861,9.6121,1.9199
-1.6966,9.8491,2.0944
-1.8465,10.0632,2.2689
-2.0146,10.2635,2.2689
-2.1827,10.4638,2.2689
-2.3676,10.6487,2.4435
-2.5817,10.7987,2.6180
-2.8187,10.9092,2.7925
-3.0713,10.9769,2.9671
-3.3317,10.9996,3.1416
-3.5922,10.9769,3.3161
-3.8497,10.9315,3.3161
-4.1072,10.8861,3.3161
-4.3647,10.8406,3.3161
-4.6172,10.7730,3.4907
-4.8542,10.6625,3.6652
-5.0684,10.5125,3.8397
-5.2533,10.3276,4.0143
-5.4033,10.1134,4.1888
-5.5138,9.8765,4.3633
-5.5814,9.6239,4.5379
-5.6042,9.3634,4.7124
-5.5814,9.1030,4.8869
-5.5138,8.8504,5.0615
-5.4243,8.6047,5.0615
-5.3349,8.3590,5.0615
-5.2455,8.1133,5.0615
-5.1560,7.8676,5.0615
-5.0666,7.6219,5.0615
-4.9772,7.3762,5.0615
-4.8667,7.1392,5.2360
-4.7167,6.9251,5.4105
-4.5318,6.7402,5.5851
-4.3177,6.5902,5.7596
-4.0807,6.4797,5.9341
-3.8350,6.3903,5.9341
-3.5893,6.3009,5.9341
-3.3436,6.2114,5.9341
-3.0979,6.1220,5.9341
-2.8522,6.0326,5.9341
-2.6065,5.9431,5.9341
-2.3608,5.8537,5.9341
-2.1151,5.7643,5.9341
-1.8694,5.6749,5.9341
-1.6237,5.5854,5.9341
-1.3780,5.4960,5.9341
-1.1323,5.4066,5.9341
-0.8866,5.3172,5.9341
-0.6409,5.2277,5.9341
-0.3952,5.1383,5.9341
-0.1495,5.0489,5.9341
0.0962,4.9594,5.9341
0.3332,4.8489,5.7596
0.5596,4.7182,5.7596
0.7860,4.5875,5.7596
1.0125,4.4567,5.7596
1.2389,4.3260,5.7596
1.4759,4.2155,5.9341
1.7284,4.1478,6.1087
1.9889,4.1250,0.0000
2.2494,4.1478,0.1745
2.5069,4.1932,0.1745
2.7644,4.2386,0.1745
3.0219,4.2840,0.1745
3.2744,4.3517,0.3491
3.5201,4.4411,0.3491
3.7658,4.5306,0.3491
4.0028,4.6411,0.5236
4.2292,4.7718,0.5236
4.3596,4.8391,0.3491
4.4956,4.8943,0.3491
4.6329,4.9465,0.3491
4.7701,4.9986,0.3491
4.9073,5.0507,0.3491
5.0437,5.1051,0.3491
5.1747,5.1712,0.4363
5.2989,5.2493,0.5236
5.4152,5.3388,0.6981
5.5225,5.4390,0.7854
5.6198,5.5488,0.8727
5.7064,5.6673,0.9599
5.7813,5.7935,1.0472
5.8439,5.9262,1.1345
5.8938,6.0642,1.2217
5.9303,6.2064,1.3090
5.9532,6.3513,1.3963
5.9624,6.4978,1.4835
5.9576,6.6444,1.5708
5.9390,6.7900,1.7453
5.9162,7.0505,1.5708
5.9162,7.3119,1.5708
5.9162,7.5734,1.5708
5.9162,7.8349,1.5708
5.9162,8.0963,1.5708
5.9162,8.3578,1.5708
5.9162,8.6193,1.5708
5.9162,8.8807,1.5708
5.9162,9.1422,1.5708
5.9162,9.4037,1.5708
5.9162,9.6651,1.5708
5.9162,9.9266,1.5708
5.9162,10.1881,1.5708
5.9162,10.4495,1.5708
5.9162,10.7110,1.5708
5.8934,10.9715,1.7453
5.8667,11.1113,1.7453
5.8359,11.2503,1.7453
5.8010,11.3883,1.7453
5.7622,11.5252,1.8326
5.7194,11.6610,1.8326
5.6727,11.7955,1.8326
5.6221,11.9285,1.9199
5.5677,12.0601,1.9199
5.5116,12.1909,1.9199
5.4556,12.3218,1.9199
5.3995,12.4526,1.9199
5.3434,12.5835,1.9199
5.2852,12.7133,2.0071
5.2231,12.8414,2.0071
5.1574,12.9677,2.0071
5.0880,13.0920,2.0944
4.9380,13.3062,2.2689
4.7700,13.5065,2.2689
4.6019,13.7068,2.2689
4.4338,13.9071,2.2689
4.2658,14.1074,2.2689
4.1158,14.3215,2.0944
4.0053,14.5585,1.9199
3.9376,14.8111,1.7453
3.9148,15.0715,1.5708
3.9148,15.3330,1.5708
3.9148,15.5945,1.5708
3.9148,15.8559,1.5708
3.9148,16.1174,1.5708
3.9148,16.3789,1.5708
3.9148,16.6403,1.5708
3.9148,16.9018,1.5708
3.9148,17.1633,1.5708
3.9148,17.4247,1.5708
3.9148,17.6862,1.5708
3.9148,17.9477,1.5708
3.9148,18.2092,1.5708
3.9148,18.4706,1.5708
