x,y
-0.009,-0.087
-0.006,0.013
-0.003,0.113
0.001,0.213
0.007,0.313
0.016,0.413
0.029,0.513
0.047,0.613
0.073,0.713
0.106,0.813
0.148,0.913
0.199,1.013
0.256,1.113
0.320,1.213
0.386,1.313
0.451,1.413
0.514,1.513
0.572,1.613
0.623,1.713
0.666,1.813
0.700,1.913
0.727,2.013
0.747,2.113
0.760,2.213
0.770,2.313
0.775,2.413
0.776,2.513
0.775,2.613
0.771,2.713
0.762,2.813
0.749,2.913
0.731,3.013
0.707,3.113
0.676,3.213
0.638,3.313
0.594,3.413
0.544,3.513
0.490,3.613
0.432,3.713
0.371,3.813
0.308,3.913
0.243,4.013
0.174,4.113
0.102,4.213
0.025,4.313
-0.056,4.413
-0.141,4.513
-0.229,4.613
-0.321,4.713
-0.414,4.813
-0.507,4.913
-0.600,5.013
-0.692,5.113
-0.781,5.213
-0.867,5.313
-0.948,5.413
-1.024,5.513
-1.094,5.613
-1.159,5.713
-1.218,5.813
-1.274,5.913
-1.328,6.013
-1.379,6.113
-1.428,6.213
-1.476,6.313
-1.523,6.413
-1.569,6.513
-1.613,6.613
-1.656,6.713
-1.698,6.813
-1.741,6.913
-1.784,7.013
-1.829,7.113
-1.878,7.213
-1.930,7.313
-1.987,7.413
-2.047,7.513
-2.109,7.613
-2.154,7.514
-2.203,7.416
-2.257,7.319
-2.318,7.223
-2.387,7.129
-2.463,7.038
-2.545,6.952
-2.633,6.871
-2.724,6.797
-2.818,6.732
-2.915,6.677
-3.012,6.632
-3.111,6.597
-3.210,6.571
-3.309,6.552
-3.409,6.538
-3.509,6.529
-3.609,6.523
-3.709,6.519
-3.809,6.517
-3.909,6.515
-4.009,6.514
-4.109,6.514
-4.209,6.513
-4.309,6.513
-4.409,6.513
-4.509,6.513
-4.609,6.513
-4.709,6.513
-4.809,6.514
-4.909,6.514
-5.009,6.515
-5.109,6.517
-5.208,6.519
-5.308,6.523
-5.408,6.529
-5.507,6.538
-5.606,6.552
-5.705,6.571
-5.803,6.597
-5.900,6.632
-5.995,6.677
-6.090,6.732
-6.182,6.796
-6.274,6.869
-6.364,6.949
-6.454,7.034
-6.544,7.123
-6.635,7.213
-6.728,7.304
-6.822,7.394
-6.918,7.482
-7.015,7.567
-7.113,7.650
-7.211,7.729
-7.310,7.807
-7.410,7.883
-7.509,7.959
-7.609,8.036
-7.709,8.113
-7.609,8.115
-7.509,8.118
-7.409,8.123
-7.309,8.129
-7.209,8.138
-7.109,8.152
-7.009,8.171
-6.909,8.197
-6.810,8.232
-6.711,8.277
-6.612,8.332
-6.515,8.397
-6.418,8.471
-6.324,8.552
-6.233,8.638
-6.145,8.729
-6.063,8.823
-5.987,8.919
-5.919,9.017
-5.858,9.115
-5.804,9.214
-5.757,9.314
-5.713,9.413
-5.669,9.513
-5.624,9.613
-5.575,9.713
-5.522,9.813
-5.464,9.913
-5.402,10.013
-5.338,10.113
-5.274,10.213
-5.210,10.313
-5.147,10.413
-5.084,10.513
-5.023,10.613
-4.962,10.713
-4.902,10.813
-4.844,10.913
-4.788,11.013
-4.735,11.113
-4.685,11.213
-4.638,11.313
-4.593,11.413
-4.550,11.513
-4.510,11.613
-4.472,11.713
-4.437,11.813
-4.407,11.913
-4.382,12.013
-4.363,12.113
-4.348,12.213
-4.339,12.313
-4.335,12.413
-4.335,12.513
-4.341,12.613
-4.352,12.713
-4.369,12.813
-4.395,12.913
-4.429,13.013
-4.474,13.113
-4.529,13.213
-4.593,13.313
-4.667,13.413
-4.747,13.513
-4.834,13.613
-4.925,13.713
-5.018,13.813
-5.114,13.913
-5.210,14.013
-5.308,14.113
-5.404,14.213
-5.501,14.313
-5.595,14.413
-5.688,14.513
-5.777,14.613
-5.863,14.713
-5.945,14.813
-6.021,14.913
-6.092,15.013
-6.157,15.113
-6.216,15.213
-6.270,15.313
-6.318,15.413
-6.360,15.513
-6.395,15.613
-6.425,15.713
-6.448,15.813
-6.465,15.913
-6.477,16.013
-6.484,16.113
-6.487,16.213
-6.486,16.313
-6.481,16.413
-6.472,16.513
-6.458,16.613
-6.439,16.713
-6.415,16.813
-6.386,16.913
-6.352,17.013
-6.315,17.113
-6.275,17.213
-6.233,17.313
-6.190,17.413
-6.145,17.513
-6.099,17.613
-6.053,17.713
-6.004,17.813
-5.954,17.913
-5.902,18.013
-5.849,18.113
-5.795,18.213
-5.740,18.313
-5.685,18.413
-5.631,18.513
-5.580,18.613
-5.532,18.713
-5.488,18.813
-5.447,18.913
-5.409,19.013
-5.309,18.957
-5.209,18.904
-5.109,18.855
-5.009,18.813
-4.909,18.778
-4.809,18.748
-4.709,18.723
-4.609,18.702
-4.509,18.683
-4.409,18.667
-4.309,18.654
-4.209,18.643
-4.109,18.634
-4.009,18.628
-3.909,18.623
-3.809,18.619
-3.709,18.617
-3.609,18.615
-3.509,18.614
-3.409,18.614
-3.309,18.613
-3.209,18.613
-3.109,18.613
-3.009,18.613
-2.909,18.613
-2.809,18.613
-2.709,18.613
-2.609,18.613
-2.509,18.613
-2.409,18.613
-2.309,18.613
-2.209,18.613
-2.109,18.614
-2.009,18.614
-1.909,18.615
-1.809,18.617
-1.709,18.619
-1.609,18.623
-1.509,18.629
-1.409,18.638
-1.309,18.652
-1.209,18.671
-1.109,18.697
-1.009,18.732
-0.909,18.777
-0.809,18.832
