x_m,y_m,yaw_rad
0.0000,0.0000,0.0000
0.1000,0.0000,0.0000
0.2000,0.0000,0.0000
0.3000,0.0000,0.0000
0.4000,0.0000,0.0000
0.5000,0.0000,0.0000
0.6000,0.0000,0.0000
0.7000,0.0000,0.0000
0.8000,0.0000,0.0000
0.9000,0.0000,0.0000
1.0000,0.0000,0.0000
1.1000,0.0000,0.0000
1.2000,0.0000,0.0000
1.3000,0.0000,0.0000
1.4000,0.0000,0.0000
1.5000,0.0000,0.0000
1.6000,0.0000,0.0000
1.7000,0.0000,0.0000
1.8000,0.0000,0.0000
1.9000,0.0000,0.0000
2.0000,0.0000,0.0000
2.1000,0.0000,0.0000
2.2000,0.0000,0.0000
2.3000,0.0000,0.0000
2.4000,0.0000,0.0000
2.5000,0.0000,0.0000
2.6000,0.0000,0.0000
2.7000,0.0000,0.0000
2.8000,0.0000,0.0000
2.9000,0.0000,0.0000
3.0000,0.0000,0.0000
3.1000,0.0000,0.0000
3.2000,0.0000,0.0000
3.3000,0.0000,0.0000
3.4000,0.0000,0.0000
3.5000,0.0000,0.0000
3.6000,0.0000,0.0000
3.7000,0.0000,0.0000
3.8000,0.0000,0.0000
3.9000,0.0000,0.0000
4.0000,0.0000,0.0000
4.1000,0.0000,0.0000
4.2000,0.0000,0.0000
4.3000,0.0000,0.0000
4.4000,0.0000,0.0000
4.5000,0.0000,0.0000
4.6000,0.0000,0.0000
4.7000,0.0000,0.0000
4.8000,0.0000,0.0000
4.9000,0.0000,0.0000
5.0000,0.0000,0.0000
5.1000,0.0000,0.0000
5.2000,0.0000,0.0000
5.3000,0.0000,0.0000
5.4000,0.0000,0.0000
5.5000,0.0000,0.0000
5.6000,0.0000,0.0000
5.7000,0.0000,0.0000
5.8000,0.0000,0.0000
5.9000,0.0000,0.0000
6.0000,0.0000,0.0000
6.1000,0.0000,0.0000
6.2000,0.0000,0.0000
6.3000,0.0000,0.0000
6.4000,0.0000,0.0000
6.5000,0.0000,0.0000
6.6000,0.0000,0.0000
6.7000,0.0000,0.0000
6.8000,0.0000,0.0000
6.9000,0.0000,0.0000
7.0000,0.0000,0.0000
7.1000,0.0000,0.0000
7.2000,0.0000,0.0000
7.3000,0.0000,0.0000
7.4000,0.0000,0.0000
7.5000,0.0000,0.0000
7.6000,0.0000,0.0000
7.7000,0.0000,0.0000
7.8000,0.0000,0.0000
7.9000,0.0000,0.0000
8.0000,0.0000,0.0000
8.1000,0.0000,0.0000
8.2000,0.0000,0.0000
8.3000,0.0000,0.0000
8.4000,0.0000,0.0000
8.5000,0.0000,0.0000
8.6000,0.0000,0.0000
8.7000,0.0000,0.0000
8.8000,0.0000,0.0000
8.9000,0.0000,0.0000
9.0000,0.0000,0.0000
9.1000,0.0000,0.0000
9.2000,0.0000,0.0000
9.3000,0.0000,0.0000
9.4000,0.0000,0.0000
9.5000,0.0000,0.0000
9.6000,0.0000,0.0000
9.7000,0.0000,0.0000
9.8000,0.0000,0.0000
9.9000,0.0000,0.0000
10.0000,0.0000,0.0007
10.1000,0.0001,0.0046
10.2000,0.0005,0.0121
10.3000,0.0017,0.0227
10.4000,0.0040,0.0362
10.5000,0.0076,0.0520
10.6000,0.0128,0.0699
10.7000,0.0198,0.0895
10.8000,0.0288,0.1105
10.9000,0.0399,0.1324
11.0000,0.0532,0.1551
11.1000,0.0689,0.1781
11.2000,0.0869,0.2013
11.3000,0.1073,0.2242
11.4000,0.1301,0.2467
11.5000,0.1553,0.2686
11.6000,0.1828,0.2897
11.7000,0.2126,0.3098
11.8000,0.2446,0.3287
11.9000,0.2787,0.3463
12.0000,0.3148,0.3626
12.1000,0.3528,0.3774
12.2000,0.3924,0.3907
12.3000,0.4336,0.4025
12.4000,0.4762,0.4126
12.5000,0.5199,0.4210
12.6000,0.5647,0.4278
12.7000,0.6103,0.4329
12.8000,0.6565,0.4363
12.9000,0.7032,0.4381
13.0000,0.7500,0.4381
13.1000,0.7968,0.4363
13.2000,0.8435,0.4329
13.3000,0.8897,0.4278
13.4000,0.9353,0.4210
13.5000,0.9801,0.4126
13.6000,1.0238,0.4025
13.7000,1.0664,0.3907
13.8000,1.1076,0.3774
13.9000,1.1472,0.3626
14.0000,1.1852,0.3463
14.1000,1.2213,0.3287
14.2000,1.2554,0.3098
14.3000,1.2874,0.2897
14.4000,1.3172,0.2686
14.5000,1.3447,0.2467
14.6000,1.3699,0.2242
14.7000,1.3927,0.2013
14.8000,1.4131,0.1781
14.9000,1.4311,0.1551
15.0000,1.4468,0.1324
15.1000,1.4601,0.1105
15.2000,1.4712,0.0895
15.3000,1.4802,0.0699
15.4000,1.4872,0.0520
15.5000,1.4924,0.0362
15.6000,1.4960,0.0227
15.7000,1.4983,0.0121
15.8000,1.4995,0.0046
15.9000,1.4999,0.0007
16.0000,1.5000,0.0000
16.1000,1.5000,0.0000
16.2000,1.5000,0.0000
16.3000,1.5000,0.0000
16.4000,1.5000,0.0000
16.5000,1.5000,0.0000
16.6000,1.5000,0.0000
16.7000,1.5000,0.0000
16.8000,1.5000,0.0000
16.9000,1.5000,0.0000
17.0000,1.5000,0.0000
17.1000,1.5000,0.0000
17.2000,1.5000,0.0000
17.3000,1.5000,0.0000
17.4000,1.5000,0.0000
17.5000,1.5000,0.0000
17.6000,1.5000,0.0000
17.7000,1.5000,0.0000
17.8000,1.5000,0.0000
17.9000,1.5000,0.0000
18.0000,1.5000,0.0000
18.1000,1.5000,0.0000
