x_m,y_m,yaw_rad
-0.0000,0.0000,1.5708
0.0239,0.1812,1.3090
0.0711,0.3577,1.3090
0.1184,0.5342,1.3090
0.1657,0.7107,1.3090
0.2130,0.8872,1.3090
0.2603,1.0637,1.3090
0.3303,1.2325,1.0472
0.4216,1.3908,1.0472
0.5130,1.5491,1.0472
0.6044,1.7073,1.0472
0.6957,1.8656,1.0472
0.7871,2.0238,1.0472
0.8570,2.1926,1.3090
0.8809,2.3738,1.5708
0.8570,2.5550,1.8326
0.8097,2.7315,1.8326
0.7624,2.9080,1.8326
0.7151,3.0845,1.8326
0.6679,3.2610,1.8326
0.6206,3.4375,1.8326
0.5733,3.6141,1.8326
0.5260,3.7906,1.8326
0.4560,3.9594,2.0944
0.3647,4.1176,2.0944
0.2733,4.2759,2.0944
0.1819,4.4342,2.0944
0.0906,4.5924,2.0944
-0.0008,4.7507,2.0944
-0.0922,4.9089,2.0944
-0.1835,5.0672,2.0944
-0.2749,5.2254,2.0944
-0.3663,5.3837,2.0944
-0.4576,5.5419,2.0944
-0.5490,5.7002,2.0944
-0.6404,5.8584,2.0944
-0.7318,6.0167,2.0944
-0.8231,6.1750,2.0944
-0.9145,6.3332,2.0944
-1.0059,6.4915,2.0944
-1.0972,6.6497,2.0944
-1.1886,6.8080,2.0944
-1.2585,6.9768,1.8326
-1.2824,7.1580,1.5708
-1.2824,7.3407,1.5708
-1.2824,7.5234,1.5708
-1.2824,7.7062,1.5708
-1.2824,7.8889,1.5708
-1.2824,8.0717,1.5708
-1.2824,8.2544,1.5708
-1.2585,8.4356,1.3090
-1.2112,8.6121,1.3090
-1.1639,8.7886,1.3090
-1.1166,8.9651,1.3090
-1.0693,9.1416,1.3090
-1.0220,9.3181,1.3090
-0.9747,9.4946,1.3090
-0.9048,9.6635,1.0472
-0.7936,9.8084,0.7854
-0.6644,9.9376,0.7854
-0.5351,10.0669,0.7854
-0.4059,10.1961,0.7854
-0.2767,10.3253,0.7854
-0.1475,10.4545,0.7854
-0.0183,10.5837,0.7854
0.0918,10.6746,0.5236
0.2171,10.7429,0.3491
0.3531,10.7863,0.1745
0.4948,10.8032,0.0000
0.6371,10.7929,6.1087
0.7750,10.7558,5.8469
0.9045,10.6955,5.7596
1.0322,10.6314,5.7596
1.1599,10.5672,5.7596
1.2877,10.5030,5.7596
1.4154,10.4388,5.7596
1.5431,10.3746,5.7596
1.6720,10.3128,5.8469
1.8089,10.2726,6.0214
1.9510,10.2590,0.0000
2.0209,10.4278,1.3090
2.0448,10.6090,1.5708
2.0209,10.7902,1.8326
1.9510,10.9590,2.0944
1.8398,11.1040,2.3562
1.7105,11.2332,2.3562
1.5813,11.3624,2.3562
1.4521,11.4916,2.3562
1.3229,11.6208,2.3562
1.2117,11.7658,2.0944
1.1417,11.9346,1.8326
1.1179,12.1158,1.5708
1.1179,12.2985,1.5708
1.1179,12.4813,1.5708
1.1179,12.6640,1.5708
1.1179,12.8468,1.5708
1.1179,13.0295,1.5708
1.1179,13.2122,1.5708
1.1417,13.3934,1.3090
1.2117,13.5622,1.0472
1.3229,13.7072,0.7854
1.4521,13.8364,0.7854
1.5813,13.9656,0.7854
1.7263,14.0769,0.5236
1.8951,14.1468,0.2618
2.0716,14.1941,0.2618
2.2482,14.2414,0.2618
2.4247,14.2887,0.2618
2.6012,14.3360,0.2618
2.7777,14.3833,0.2618
2.9542,14.4306,0.2618
3.1354,14.4544,0.0000
3.3165,14.4306,6.0214
3.4854,14.3607,5.7596
3.6436,14.2693,5.7596
3.8019,14.1779,5.7596
3.9601,14.0865,5.7596
4.1184,13.9952,5.7596
4.2766,13.9038,5.7596
4.4349,13.8124,5.7596
4.5932,13.7211,5.7596
4.7514,13.6297,5.7596
4.9097,13.5383,5.7596
5.0679,13.4470,5.7596
5.2262,13.3556,5.7596
5.3950,13.2857,6.0214
5.5715,13.2384,6.0214
5.7480,13.1911,6.0214
5.9168,13.1211,5.7596
6.0618,13.0099,5.4978
6.1731,12.8649,5.2360
6.2430,12.6961,4.9742
6.2668,12.5149,4.7124
6.2511,12.3673,4.4506
6.2046,12.2263,4.2761
6.1294,12.0983,4.0143
6.0289,11.9891,3.8397
5.9076,11.9035,3.5779
5.7710,11.8454,3.4034
5.6252,11.8174,3.1416
5.4768,11.8208,2.9671
5.3324,11.8554,2.7925
5.1986,11.9196,2.5307
5.0813,12.0107,2.3562
4.9859,12.1244,2.0944
4.9166,12.2557,1.9199
4.8766,12.3987,1.6581
4.8676,12.5468,1.4835
4.8900,12.6936,1.3090
4.9429,12.8323,1.0472
5.0152,12.9623,1.0472
5.0880,13.0920,1.0472
5.1579,13.2608,1.3090
5.1818,13.4420,1.5708
5.1579,13.6232,1.8326
5.0880,13.7920,2.0944
4.9768,13.9370,2.3562
4.8318,14.0482,2.6180
4.6735,14.1396,2.6180
4.5153,14.2310,2.6180
4.3570,14.3223,2.6180
4.1988,14.4137,2.6180
4.0405,14.5051,2.6180
3.8955,14.6163,2.3562
3.7843,14.7613,2.0944
3.7144,14.9301,1.8326
3.6905,15.1113,1.5708
3.7144,15.2924,1.3090
3.7617,15.4690,1.3090
3.8090,15.6455,1.3090
3.8562,15.8220,1.3090
3.9035,15.9985,1.3090
3.9508,16.1750,1.3090
3.9747,16.3562,1.5708
3.9747,16.5389,1.5708
3.9747,16.7216,1.5708
3.9747,16.9044,1.5708
3.9747,17.0871,1.5708
3.9747,17.2699,1.5708
3.9747,17.4526,1.5708
3.9747,17.6353,1.5708
3.9747,17.8181,1.5708
3.9747,18.0008,1.5708
3.9747,18.1835,1.5708
3.9747,18.3663,1.5708
3.9747,18.5490,1.5708
3.9985,18.7302,1.3090
4.0685,18.8990,1.0472
4.1797,19.0440,0.7854
4.3089,19.1732,0.7854
4.4381,19.3024,0.7854
4.5674,19.4316,0.7854
4.6966,19.5608,0.7854
4.8258,19.6901,0.7854
4.9550,19.8193,0.7854
5.0842,19.9485,0.7854
5.2134,20.0777,0.7854
5.3426,20.2069,0.7854
5.4719,20.3361,0.7854
5.6168,20.4474,0.5236
5.7857,20.5173,0.2618
5.9668,20.5412,0.0000
6.1496,20.5412,0.0000
6.3323,20.5412,0.0000
6.5150,20.5412,0.0000
6.6962,20.5650,0.2618
6.8727,20.6123,0.2618
7.0060,20.6631,0.4363
7.1263,20.7398,0.6109
7.2285,20.8393,0.8727
7.3084,20.9575,1.0472
7.3626,21.0894,1.2217
7.3891,21.2295,1.4835
7.3867,21.3722,1.6581
7.3729,21.5144,1.6581
7.3591,21.6566,1.6581
7.3453,21.7988,1.6581
7.3315,21.9410,1.6581
7.3177,22.0833,1.6581
7.3039,22.2255,1.6581
7.2901,22.3677,1.6581
7.2763,22.5099,1.6581
7.2625,22.6521,1.6581
7.2395,22.7929,1.7453
7.1889,22.9263,2.0071
7.1124,23.0467,2.1817
7.0130,23.1490,2.4435
7.1942,23.1251,6.0214
7.3630,23.0552,5.7596
7.5080,22.9440,5.4978
7.6192,22.7990,5.2360
7.6891,22.6302,4.9742
7.7130,22.4490,4.7124
7.6891,22.2678,4.4506
7.6419,22.0913,4.4506
7.5946,21.9148,4.4506
