Point Name	Y [m]	X [m]		H (local)
S1		0,000	0,000		0,000
S2		26,427	0,000		0,138
S3		6,918	10,709		0,067
S4		17,881	11,210		0,100
S5		25,658	13,223		-0,035
S6		15,824	-9,428		-0,302
S7		22,831	-8,970		-0,180
S8		4,991	-15,676		-0,280
S9		-4,762	7,160		-0,095
L1		8,012	3,183		0,361
L2		9,482	7,269		0,281
L3		17,583	7,878		0,398
L4		22,389	9,225		0,437
L5		23,990	3,518		0,272
L6		16,870	0,882		0,259
L7		21,415	-3,944		0,104
L8		16,334	-5,491		0,061
L9		13,528	-7,695		-0,051
L10		12,602	-1,610		0,290
L11		9,721	-7,715		0,006
L12		4,442	-4,311		-0,111
L13		28,118	-5,720		-0,163
L14		5,230	-11,438		-0,078
L15		1,102	6,483		0,239
W1		9,759	1,951		-0,053
W2		19,499	4,170		0,105
W3		23,149	7,013		0,205
W4		18,665	-1,701		-0,156
W5		19,034	-5,339		-0,259
W6		8,197	-7,675		-0,179
W7		7,682	-2,108		-0,163
W8		6,790	5,939		-0,065
W9		13,092	5,088		0,011
P1		25,901	-5,997		-0,160
 
