x,y
-0.009,-0.087
-0.008,0.013
-0.008,0.113
-0.007,0.213
-0.006,0.313
-0.004,0.413
-0.001,0.513
0.005,0.613
0.014,0.713
0.029,0.813
0.051,0.913
0.082,1.013
0.124,1.113
0.177,1.213
0.239,1.313
0.308,1.413
0.380,1.513
0.450,1.613
0.516,1.713
0.574,1.813
0.623,1.913
0.663,2.013
0.695,2.113
0.720,2.213
0.738,2.313
0.749,2.413
0.753,2.513
0.749,2.613
0.739,2.713
0.722,2.813
0.698,2.913
0.668,3.013
0.631,3.113
0.586,3.213
0.535,3.313
0.480,3.413
0.421,3.513
0.361,3.613
0.301,3.713
0.240,3.813
0.176,3.913
0.108,4.013
0.034,4.113
-0.047,4.213
-0.132,4.313
-0.222,4.413
-0.315,4.513
-0.409,4.613
-0.503,4.713
-0.595,4.813
-0.685,4.913
-0.771,5.013
-0.851,5.113
-0.924,5.213
-0.991,5.313
-1.051,5.413
-1.106,5.513
-1.156,5.613
-1.204,5.713
-1.249,5.813
-1.295,5.913
-1.341,6.013
-1.387,6.113
-1.434,6.213
-1.481,6.313
-1.527,6.413
-1.572,6.513
-1.614,6.613
-1.655,6.713
-1.693,6.813
-1.729,6.913
-1.764,7.013
-1.799,7.113
-1.836,7.213
-1.877,7.313
-1.925,7.413
-1.981,7.513
-2.043,7.613
-2.109,7.713
-2.019,7.737
-1.931,7.765
-1.846,7.801
-1.768,7.847
-1.696,7.904
-1.632,7.973
-1.576,8.051
-1.528,8.136
-1.487,8.227
-1.454,8.321
-1.427,8.417
-1.408,8.515
-1.395,8.614
-1.391,8.714
-1.394,8.813
-1.406,8.913
-1.424,9.013
-1.449,9.113
-1.480,9.213
-1.518,9.313
-1.565,9.413
-1.620,9.513
-1.685,9.612
-1.759,9.712
-1.841,9.812
-1.928,9.910
-2.020,10.009
-2.116,10.105
-2.213,10.200
-2.311,10.292
-2.410,10.378
-2.509,10.458
-2.609,10.530
-2.709,10.592
-2.809,10.644
-2.909,10.687
-3.009,10.723
-3.109,10.753
-3.209,10.778
-3.309,10.798
-3.409,10.815
-3.509,10.827
-3.609,10.835
-3.709,10.836
-3.809,10.830
-3.909,10.818
-4.009,10.799
-4.109,10.774
-4.209,10.742
-4.309,10.703
-4.409,10.657
-4.509,10.601
-4.608,10.537
-4.708,10.463
-4.807,10.381
-4.906,10.293
-5.005,10.201
-5.101,10.106
-5.196,10.009
-5.288,9.911
