t_s,fused_yaw_deg,ahrs_yaw_deg,diff_deg
0.000,0.4539,91.0033,-90.5494
0.005,0.4360,91.0033,-90.5673
0.012,0.4507,91.0033,-90.5526
0.038,0.4526,91.0033,-90.5507
0.076,0.4513,91.0033,-90.5520
0.133,0.4530,91.0196,-90.5666
0.183,0.4690,91.0196,-90.5506
0.236,0.4680,91.0196,-90.5515
0.320,0.4684,91.0196,-90.5511
0.344,0.4700,91.0196,-90.5496
0.386,0.4685,91.0358,-90.5673
0.414,0.4582,91.0358,-90.5776
0.548,0.4851,91.0358,-90.5507
0.584,0.4816,91.0358,-90.5543
0.696,0.4799,91.0521,-90.5721
0.807,0.4967,91.0521,-90.5554
0.878,0.5029,91.0521,-90.5492
0.931,0.5121,91.0521,-90.5400
0.958,0.5163,91.0682,-90.5519
1.019,0.5186,91.0682,-90.5496
1.066,0.5173,91.0682,-90.5509
1.110,0.5183,91.0682,-90.5499
1.146,0.5251,91.0682,-90.5431
1.250,0.5333,91.0846,-90.5513
1.279,0.5332,91.0846,-90.5513
1.371,0.5356,91.0846,-90.5489
1.451,0.5384,91.0846,-90.5462
1.478,0.5602,91.1005,-90.5403
1.523,0.5323,91.1005,-90.5682
1.640,0.5490,91.1005,-90.5515
1.658,0.5521,91.1005,-90.5484
1.765,0.5490,91.1165,-90.5675
1.781,0.5487,91.1165,-90.5678
1.953,0.5633,91.1165,-90.5532
1.959,0.5725,91.1165,-90.5441
1.990,0.5606,91.1324,-90.5718
2.018,0.5593,91.1324,-90.5730
2.074,0.5692,91.1324,-90.5632
2.117,0.5848,91.1324,-90.5476
2.272,0.5866,91.1483,-90.5618
2.309,0.5964,91.1483,-90.5519
2.398,0.5962,91.1645,-90.5682
2.425,0.6026,91.1645,-90.5619
2.465,0.6149,91.1645,-90.5496
2.526,0.6196,91.1645,-90.5448
2.622,0.6154,91.1801,-90.5648
2.689,0.6067,91.1801,-90.5735
2.778,0.6208,91.1801,-90.5594
2.856,0.6354,91.1959,-90.5604
2.878,0.6364,91.1959,-90.5594
2.918,0.6383,91.1959,-90.5575
3.009,0.6481,91.1939,-90.5458
3.075,0.6430,91.2157,-90.5728
3.149,0.6476,91.2178,-90.5702
3.184,0.6680,91.2163,-90.5483
3.238,0.6675,91.2141,-90.5466
3.275,0.6672,91.2174,-90.5501
3.320,0.6510,91.2176,-90.5666
3.400,0.6672,91.2405,-90.5734
3.447,0.7038,91.2438,-90.5399
3.498,0.6969,91.2413,-90.5444
3.536,0.6932,91.2422,-90.5490
3.572,0.6932,91.2438,-90.5505
3.620,0.6938,91.2677,-90.5739
3.676,0.7003,91.2700,-90.5697
3.774,0.7215,91.2648,-90.5433
3.850,0.7189,91.2890,-90.5702
3.887,0.7144,91.2882,-90.5738
3.919,0.7229,91.2871,-90.5643
3.960,0.7346,91.2847,-90.5501
4.030,0.7362,91.2814,-90.5452
4.092,0.7256,91.2927,-90.5671
4.180,0.7292,91.2905,-90.5613
4.215,0.7296,91.2899,-90.5602
4.250,0.7301,91.2854,-90.5553
4.279,0.7314,91.2826,-90.5512
4.336,0.7415,91.2803,-90.5388
4.436,0.7201,91.2910,-90.5709
4.462,0.7471,91.2985,-90.5513
4.484,0.7554,91.3006,-90.5451
4.533,0.7498,91.3000,-90.5502
4.574,0.7515,91.3009,-90.5494
4.612,0.7538,91.3016,-90.5477
4.745,0.7620,91.3132,-90.5513
4.795,0.7636,91.3111,-90.5475
4.845,0.7650,91.3114,-90.5464
4.969,0.7690,91.3274,-90.5585
5.031,0.7749,91.3269,-90.5520
5.057,0.7763,91.3292,-90.5528
5.128,0.7703,91.3307,-90.5604
5.164,0.7767,91.3469,-90.5702
5.216,0.7850,91.3493,-90.5643
5.334,0.7965,91.3484,-90.5519
5.487,0.8137,91.3622,-90.5485
5.495,0.7982,91.3622,-90.5640
5.504,0.7957,91.3622,-90.5665
5.512,0.7938,91.3622,-90.5684
5.629,0.8084,91.3622,-90.5538
5.664,0.8132,91.3763,-90.5631
5.676,0.8216,91.3763,-90.5548
5.736,0.8253,91.3763,-90.5510
5.771,0.8323,91.3763,-90.5440
5.873,0.8289,91.3906,-90.5617
5.973,0.8265,91.3906,-90.5640
6.078,0.8357,91.3906,-90.5549
6.140,0.8527,91.3906,-90.5379
6.179,0.8464,91.4059,-90.5595
6.229,0.8477,91.4059,-90.5583
6.279,0.8709,91.4050,-90.5341
6.332,0.8595,91.4155,-90.5560
6.451,0.8499,91.4238,-90.5739
6.475,0.8669,91.4226,-90.5557
6.523,0.8685,91.4296,-90.5610
6.612,0.8803,91.4613,-90.5811
6.625,0.8881,91.4653,-90.5772
6.672,0.9191,91.4703,-90.5511
6.743,0.9127,91.4582,-90.5455
6.779,0.9142,91.4657,-90.5515
6.821,0.9167,91.4739,-90.5572
6.904,0.9129,91.4655,-90.5526
6.946,0.9163,91.4800,-90.5638
6.974,0.9231,91.4755,-90.5524
7.037,0.9264,91.4658,-90.5394
7.108,0.9161,91.4933,-90.5772
7.187,0.9430,91.4929,-90.5498
7.212,0.9408,91.4905,-90.5497
7.276,0.9451,91.4931,-90.5480
7.323,0.9383,91.4927,-90.5544
7.377,0.9340,91.5127,-90.5787
7.438,0.9405,91.5138,-90.5733
7.542,0.9629,91.5115,-90.5486
7.603,0.9643,91.5120,-90.5477
7.652,0.9547,91.5125,-90.5578
7.702,0.9774,91.5292,-90.5518
7.744,0.9798,91.5292,-90.5494
7.779,0.9783,91.5292,-90.5509
7.866,0.9787,91.5292,-90.5505
7.964,0.9783,91.5472,-90.5688
7.990,0.9956,91.5472,-90.5516
7.998,0.9996,91.5472,-90.5476
8.106,0.9974,91.5472,-90.5498
8.139,0.9914,91.5472,-90.5558
8.182,0.9966,91.5472,-90.5505
8.200,1.0141,91.5653,-90.5512
8.273,1.0134,91.5653,-90.5518
8.367,1.0180,91.5653,-90.5472
8.438,1.0279,91.5830,-90.5551
8.502,1.0312,91.5830,-90.5518
8.588,1.0385,91.5830,-90.5445
8.668,1.0389,91.5830,-90.5441
8.703,1.0383,91.6007,-90.5624
8.714,1.0474,91.6007,-90.5533
8.735,1.0562,91.6007,-90.5445
8.805,1.0492,91.6007,-90.5516
8.826,1.0001,91.6007,-90.6006
8.926,1.0096,91.5454,-90.5358
8.950,1.0346,91.5691,-90.5345
8.980,1.0466,91.5854,-90.5388
9.039,1.0354,91.5924,-90.5570
9.090,1.0078,91.5761,-90.5682
9.148,1.0555,91.5820,-90.5265
9.305,0.9783,91.5308,-90.5525
9.336,0.9526,91.5514,-90.5987
